#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-04-15, 15:58:25
# Real time (s): 907.040
# Live time (s): 900.000
#
# Total counts:  84553
#
# Left marker:  1745 (656.430 keV)
# Right marker: 1779 (669.055 keV)
# Counts:       2529
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 8.481379
#     A1: 0.371317
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
677	259.863	33	0.0366667
678	260.235	47	0.0522222
679	260.606	42	0.0466667
680	260.977	38	0.0422222
681	261.349	36	0.04
682	261.720	49	0.0544444
683	262.091	32	0.0355556
684	262.462	40	0.0444444
685	262.834	50	0.0555556
686	263.205	51	0.0566667
687	263.576	43	0.0477778
688	263.948	38	0.0422222
689	264.319	53	0.0588889
690	264.690	41	0.0455556
691	265.062	40	0.0444444
692	265.433	38	0.0422222
693	265.804	28	0.0311111
694	266.176	27	0.03
695	266.547	42	0.0466667
696	266.918	40	0.0444444
697	267.290	34	0.0377778
698	267.661	38	0.0422222
699	268.032	36	0.04
700	268.404	36	0.04
701	268.775	45	0.05
702	269.146	34	0.0377778
703	269.518	37	0.0411111
704	269.889	33	0.0366667
705	270.260	47	0.0522222
706	270.631	41	0.0455556
707	271.003	39	0.0433333
708	271.374	42	0.0466667
709	271.745	37	0.0411111
710	272.117	40	0.0444444
711	272.488	33	0.0366667
712	272.859	40	0.0444444
713	273.231	41	0.0455556
714	273.602	34	0.0377778
715	273.973	32	0.0355556
716	274.345	32	0.0355556
717	274.716	29	0.0322222
718	275.087	34	0.0377778
719	275.459	35	0.0388889
720	275.830	46	0.0511111
721	276.201	38	0.0422222
722	276.573	28	0.0311111
723	276.944	32	0.0355556
724	277.315	41	0.0455556
725	277.686	44	0.0488889
726	278.058	34	0.0377778
727	278.429	24	0.0266667
728	278.800	33	0.0366667
729	279.172	39	0.0433333
730	279.543	29	0.0322222
731	279.914	45	0.05
732	280.286	34	0.0377778
733	280.657	42	0.0466667
734	281.028	45	0.05
735	281.400	32	0.0355556
736	281.771	27	0.03
737	282.142	30	0.0333333
738	282.514	40	0.0444444
739	282.885	39	0.0433333
740	283.256	31	0.0344444
741	283.628	43	0.0477778
742	283.999	36	0.04
743	284.370	36	0.04
744	284.742	42	0.0466667
745	285.113	42	0.0466667
746	285.484	46	0.0511111
747	285.855	48	0.0533333
748	286.227	35	0.0388889
749	286.598	39	0.0433333
750	286.969	32	0.0355556
751	287.341	33	0.0366667
752	287.712	36	0.04
753	288.083	42	0.0466667
754	288.455	28	0.0311111
755	288.826	41	0.0455556
756	289.197	32	0.0355556
757	289.569	25	0.0277778
758	289.940	37	0.0411111
759	290.311	34	0.0377778
760	290.683	34	0.0377778
761	291.054	36	0.04
762	291.425	33	0.0366667
763	291.797	36	0.04
764	292.168	28	0.0311111
765	292.539	35	0.0388889
766	292.910	33	0.0366667
767	293.282	27	0.03
768	293.653	30	0.0333333
769	294.024	38	0.0422222
770	294.396	35	0.0388889
771	294.767	32	0.0355556
772	295.138	40	0.0444444
773	295.510	35	0.0388889
774	295.881	36	0.04
775	296.252	29	0.0322222
776	296.624	35	0.0388889
777	296.995	41	0.0455556
778	297.366	34	0.0377778
779	297.738	43	0.0477778
780	298.109	39	0.0433333
781	298.480	29	0.0322222
782	298.852	33	0.0366667
783	299.223	37	0.0411111
784	299.594	33	0.0366667
785	299.966	32	0.0355556
786	300.337	39	0.0433333
787	300.708	36	0.04
788	301.079	29	0.0322222
789	301.451	39	0.0433333
790	301.822	29	0.0322222
791	302.193	37	0.0411111
792	302.565	34	0.0377778
793	302.936	34	0.0377778
794	303.307	43	0.0477778
795	303.679	37	0.0411111
796	304.050	40	0.0444444
797	304.421	30	0.0333333
798	304.793	41	0.0455556
799	305.164	32	0.0355556
800	305.535	24	0.0266667
801	305.907	37	0.0411111
802	306.278	36	0.04
803	306.649	43	0.0477778
804	307.021	45	0.05
805	307.392	36	0.04
806	307.763	38	0.0422222
807	308.135	32	0.0355556
808	308.506	40	0.0444444
809	308.877	21	0.0233333
810	309.248	33	0.0366667
811	309.620	36	0.04
812	309.991	30	0.0333333
813	310.362	26	0.0288889
814	310.734	31	0.0344444
815	311.105	25	0.0277778
816	311.476	34	0.0377778
817	311.848	40	0.0444444
818	312.219	24	0.0266667
819	312.590	29	0.0322222
820	312.962	39	0.0433333
821	313.333	31	0.0344444
822	313.704	22	0.0244444
823	314.076	32	0.0355556
824	314.447	32	0.0355556
825	314.818	37	0.0411111
826	315.190	37	0.0411111
827	315.561	39	0.0433333
828	315.932	24	0.0266667
829	316.303	26	0.0288889
830	316.675	27	0.03
831	317.046	37	0.0411111
832	317.417	26	0.0288889
833	317.789	31	0.0344444
834	318.160	28	0.0311111
835	318.531	24	0.0266667
836	318.903	34	0.0377778
837	319.274	22	0.0244444
838	319.645	30	0.0333333
839	320.017	19	0.0211111
840	320.388	44	0.0488889
841	320.759	22	0.0244444
842	321.131	23	0.0255556
843	321.502	34	0.0377778
844	321.873	31	0.0344444
845	322.245	29	0.0322222
846	322.616	31	0.0344444
847	322.987	35	0.0388889
848	323.359	32	0.0355556
849	323.730	41	0.0455556
850	324.101	31	0.0344444
851	324.472	27	0.03
852	324.844	25	0.0277778
853	325.215	27	0.03
854	325.586	29	0.0322222
855	325.958	27	0.03
856	326.329	32	0.0355556
857	326.700	33	0.0366667
858	327.072	29	0.0322222
859	327.443	33	0.0366667
860	327.814	25	0.0277778
861	328.186	38	0.0422222
862	328.557	27	0.03
863	328.928	37	0.0411111
864	329.300	29	0.0322222
865	329.671	25	0.0277778
866	330.042	33	0.0366667
867	330.414	28	0.0311111
868	330.785	39	0.0433333
869	331.156	31	0.0344444
870	331.528	39	0.0433333
871	331.899	44	0.0488889
872	332.270	38	0.0422222
873	332.641	27	0.03
874	333.013	31	0.0344444
875	333.384	35	0.0388889
876	333.755	29	0.0322222
877	334.127	30	0.0333333
878	334.498	34	0.0377778
879	334.869	26	0.0288889
880	335.241	31	0.0344444
881	335.612	19	0.0211111
882	335.983	35	0.0388889
883	336.355	33	0.0366667
884	336.726	37	0.0411111
885	337.097	29	0.0322222
886	337.469	25	0.0277778
887	337.840	35	0.0388889
888	338.211	17	0.0188889
889	338.583	23	0.0255556
890	338.954	36	0.04
891	339.325	30	0.0333333
892	339.696	30	0.0333333
893	340.068	32	0.0355556
894	340.439	42	0.0466667
895	340.810	35	0.0388889
896	341.182	41	0.0455556
897	341.553	22	0.0244444
898	341.924	33	0.0366667
899	342.296	28	0.0311111
900	342.667	31	0.0344444
901	343.038	31	0.0344444
902	343.410	29	0.0322222
903	343.781	28	0.0311111
904	344.152	28	0.0311111
905	344.524	26	0.0288889
906	344.895	31	0.0344444
907	345.266	24	0.0266667
908	345.638	26	0.0288889
909	346.009	29	0.0322222
910	346.380	24	0.0266667
911	346.752	34	0.0377778
912	347.123	33	0.0366667
913	347.494	25	0.0277778
914	347.865	23	0.0255556
915	348.237	27	0.03
916	348.608	26	0.0288889
917	348.979	26	0.0288889
918	349.351	37	0.0411111
919	349.722	25	0.0277778
920	350.093	25	0.0277778
921	350.465	20	0.0222222
922	350.836	25	0.0277778
923	351.207	30	0.0333333
924	351.579	32	0.0355556
925	351.950	29	0.0322222
926	352.321	33	0.0366667
927	352.693	24	0.0266667
928	353.064	26	0.0288889
929	353.435	29	0.0322222
930	353.807	26	0.0288889
931	354.178	41	0.0455556
932	354.549	23	0.0255556
933	354.921	38	0.0422222
934	355.292	35	0.0388889
935	355.663	28	0.0311111
936	356.034	35	0.0388889
937	356.406	35	0.0388889
938	356.777	18	0.02
939	357.148	26	0.0288889
940	357.520	25	0.0277778
941	357.891	22	0.0244444
942	358.262	22	0.0244444
943	358.634	29	0.0322222
944	359.005	34	0.0377778
945	359.376	29	0.0322222
946	359.748	32	0.0355556
947	360.119	20	0.0222222
948	360.490	28	0.0311111
949	360.862	27	0.03
950	361.233	31	0.0344444
951	361.604	27	0.03
952	361.976	28	0.0311111
953	362.347	24	0.0266667
954	362.718	25	0.0277778
955	363.089	23	0.0255556
956	363.461	21	0.0233333
957	363.832	23	0.0255556
958	364.203	19	0.0211111
959	364.575	25	0.0277778
960	364.946	28	0.0311111
