#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-04-15, 10:31:16
# Real time (s): 6165.170
# Live time (s): 6000.000
#
# Total counts:  578519
#
# Left marker:  1745 (656.430 keV)
# Right marker: 1779 (669.055 keV)
# Counts:       3052
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 8.481379
#     A1: 0.371317
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
330	131.016	373	0.0621667
331	131.387	379	0.0631667
332	131.759	385	0.0641667
333	132.130	401	0.0668333
334	132.501	356	0.0593333
335	132.873	347	0.0578333
336	133.244	357	0.0595
337	133.615	383	0.0638333
338	133.987	415	0.0691667
339	134.358	365	0.0608333
340	134.729	369	0.0615
341	135.101	402	0.067
342	135.472	402	0.067
343	135.843	355	0.0591667
344	136.215	380	0.0633333
345	136.586	387	0.0645
346	136.957	376	0.0626667
347	137.329	362	0.0603333
348	137.700	381	0.0635
349	138.071	372	0.062
350	138.442	379	0.0631667
351	138.814	367	0.0611667
352	139.185	395	0.0658333
353	139.556	372	0.062
354	139.928	407	0.0678333
355	140.299	378	0.063
356	140.670	360	0.06
357	141.042	366	0.061
358	141.413	395	0.0658333
359	141.784	381	0.0635
360	142.156	394	0.0656667
361	142.527	376	0.0626667
362	142.898	400	0.0666667
363	143.270	388	0.0646667
364	143.641	377	0.0628333
365	144.012	399	0.0665
366	144.384	413	0.0688333
367	144.755	389	0.0648333
368	145.126	380	0.0633333
369	145.497	374	0.0623333
370	145.869	418	0.0696667
371	146.240	377	0.0628333
372	146.611	387	0.0645
373	146.983	399	0.0665
374	147.354	353	0.0588333
375	147.725	373	0.0621667
376	148.097	390	0.065
377	148.468	388	0.0646667
378	148.839	376	0.0626667
379	149.211	369	0.0615
380	149.582	423	0.0705
381	149.953	381	0.0635
382	150.325	393	0.0655
383	150.696	373	0.0621667
384	151.067	373	0.0621667
385	151.439	353	0.0588333
386	151.810	364	0.0606667
387	152.181	390	0.065
388	152.553	414	0.069
389	152.924	364	0.0606667
390	153.295	387	0.0645
391	153.666	367	0.0611667
392	154.038	357	0.0595
393	154.409	393	0.0655
394	154.780	385	0.0641667
395	155.152	386	0.0643333
396	155.523	378	0.063
397	155.894	382	0.0636667
398	156.266	381	0.0635
399	156.637	361	0.0601667
400	157.008	369	0.0615
401	157.380	352	0.0586667
402	157.751	384	0.064
403	158.122	370	0.0616667
404	158.494	383	0.0638333
405	158.865	353	0.0588333
406	159.236	388	0.0646667
407	159.608	374	0.0623333
408	159.979	336	0.056
409	160.350	378	0.063
410	160.722	382	0.0636667
411	161.093	382	0.0636667
412	161.464	377	0.0628333
413	161.835	368	0.0613333
414	162.207	365	0.0608333
415	162.578	369	0.0615
416	162.949	428	0.0713333
417	163.321	350	0.0583333
418	163.692	368	0.0613333
419	164.063	371	0.0618333
420	164.435	414	0.069
421	164.806	362	0.0603333
422	165.177	386	0.0643333
423	165.549	376	0.0626667
424	165.920	382	0.0636667
425	166.291	387	0.0645
426	166.663	338	0.0563333
427	167.034	391	0.0651667
428	167.405	349	0.0581667
429	167.777	379	0.0631667
430	168.148	349	0.0581667
431	168.519	387	0.0645
432	168.890	367	0.0611667
433	169.262	365	0.0608333
434	169.633	346	0.0576667
435	170.004	373	0.0621667
436	170.376	365	0.0608333
437	170.747	389	0.0648333
438	171.118	336	0.056
439	171.490	343	0.0571667
440	171.861	343	0.0571667
441	172.232	354	0.059
442	172.604	352	0.0586667
443	172.975	364	0.0606667
444	173.346	365	0.0608333
445	173.718	354	0.059
446	174.089	363	0.0605
447	174.460	352	0.0586667
448	174.832	350	0.0583333
449	175.203	349	0.0581667
450	175.574	299	0.0498333
451	175.946	354	0.059
452	176.317	331	0.0551667
453	176.688	384	0.064
454	177.059	328	0.0546667
455	177.431	362	0.0603333
456	177.802	347	0.0578333
457	178.173	373	0.0621667
458	178.545	366	0.061
459	178.916	367	0.0611667
460	179.287	356	0.0593333
461	179.659	321	0.0535
462	180.030	318	0.053
463	180.401	337	0.0561667
464	180.773	342	0.057
465	181.144	333	0.0555
466	181.515	376	0.0626667
467	181.887	371	0.0618333
468	182.258	366	0.061
469	182.629	336	0.056
470	183.001	352	0.0586667
471	183.372	347	0.0578333
472	183.743	341	0.0568333
473	184.115	312	0.052
474	184.486	363	0.0605
475	184.857	352	0.0586667
476	185.228	334	0.0556667
477	185.600	329	0.0548333
478	185.971	349	0.0581667
479	186.342	356	0.0593333
480	186.714	354	0.059
481	187.085	342	0.057
482	187.456	380	0.0633333
483	187.828	344	0.0573333
484	188.199	350	0.0583333
485	188.570	330	0.055
486	188.942	332	0.0553333
487	189.313	334	0.0556667
488	189.684	334	0.0556667
489	190.056	334	0.0556667
490	190.427	342	0.057
491	190.798	326	0.0543333
492	191.170	360	0.06
493	191.541	318	0.053
494	191.912	357	0.0595
495	192.283	342	0.057
496	192.655	366	0.061
497	193.026	338	0.0563333
498	193.397	350	0.0583333
499	193.769	338	0.0563333
500	194.140	346	0.0576667
501	194.511	346	0.0576667
502	194.883	322	0.0536667
503	195.254	352	0.0586667
504	195.625	343	0.0571667
505	195.997	328	0.0546667
506	196.368	355	0.0591667
507	196.739	328	0.0546667
508	197.111	349	0.0581667
509	197.482	349	0.0581667
510	197.853	336	0.056
511	198.225	339	0.0565
512	198.596	355	0.0591667
513	198.967	316	0.0526667
514	199.339	358	0.0596667
515	199.710	347	0.0578333
